Ortalama_SICAKLIK;Toplam_CIROILKFIYAT;Toplam_CIRO;Toplam_Musteri_Sat;Indirim_Yuzdesi;Istinyepark;Akasya;Akbati;Beylikduzu;Brandium;Capitol;Forum_Istanbul ;Forum_Marmara;Mall_Of;MAltepePark;MARMARAPARK;Metrocity;Natilus;Starcity;YKM_FORUM_ISTANBUL;YKM_FORUM_MARMARA;Ozel_Gunler;Satis_Normalize;;;
14;2613;2430;5281;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;2107;1782;5613;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;2513;2449;4992;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;2581;2575;5437;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;1877;1854;4402;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;4349;3438;6933;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
9;5675;4360;10144;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
5;1631;1239;9222;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
3;2719;2211;5238;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
7;5849;4292;5851;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;5697;4227;5131;26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;3363;2586;6695;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
10;3989;3166;9785;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
4;3718;2785;7396;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
4;2886;1966;5207;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;7248;4934;8562;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;6120;4314;8662;30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
7;8660;5273;12827;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
7;4198;3363;10827;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;3781;3614;7531;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;8493;7438;9736;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;4836;4708;7508;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;5337;5292;7051;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;6049;5352;7977;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;11591;9720;2951;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
17;12557;11484;16692;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;9642;9250;19960;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
20;15207;14035;18884;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
18;6050;5826;17061;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
